Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73200,Liver,Maddmmu-sg2,rp48,1.305085064,0.943209112,1.183483358,1.283087738,0.978003027,1.164037855,1.303638645
73200,Liver,Maddmmu-sg3,rp48,0.955547052,0.90997309,0.853150513,1.241513617,1.004435542,1.17192429,1.424090339
73200,Liver,Mgammu-sg1,rp48,0.656711252,0.657865582,0.901716559,1.096200551,1.004435542,1.093059937,1.319949812
73200,Liver,Mgammu-sg2,rp48,0.559935498,0.565935878,1.09022399,1.610809262,1.004435542,1.184542587,0.86825596
73200,Liver,Mgammu-sg3,rp48,0.58469404,0.610408297,0.817877329,1.086816025,1.004435542,0.90851735,0.869510665
73200,Liver,Nfibmmu-sg1,rp48,,,0.095248064,,1.004435542,0.287066246,0.570890841
73200,Liver,Nfibmmu-sg2,rp48,0.479891429,0.691404038,0.504396064,,1.004435542,0.758675079,1.033877039
73200,Liver,Nfibmmu-sg3,rp48,,,0.233933431,,1.004435542,0.534700315,0.809284818
73200,Liver,Ptenmmu-sg1,rp48,1.163438735,0.413849278,3.367490057,4.980328681,0.91312322,1.258675079,0.013801757
73200,Liver,Ptenmmu-sg2,rp48,0.653628839,0.538662631,1.330751518,,1.004435542,0.823343849,0.60727729
73200,Liver,Ptenmmu-sg3,rp48,1.146721121,0.222007308,6.900774545,,0.717453958,3.495268139,1.721455458
73200,Liver,Rac1mmu-sg1,rp48,0.098205933,0.155049778,0.715721164,,1.004435542,0.668769716,0.676286073
73200,Liver,Rac1mmu-sg2,rp48,0.019228269,0.032643046,0.292024283,,1.004435542,0.880126183,1.750313676
73200,Liver,Rac1mmu-sg3,rp48,0.208618658,0.259092957,0.893866443,,1.004435542,0.782334385,1.17314931
73200,Liver,Runx1t1mmu-sg1,rp48,0.752560049,0.666290191,1.121938455,2.828750237,1.004435542,1.402208202,1.005018821
73200,Liver,Runx1t1mmu-sg2,rp48,0.826650318,0.667265104,0.807829181,1.033842258,0.977288635,0.870662461,0.948557089
73200,Liver,Runx1t1mmu-sg3,rp48,0.869928471,0.616901667,1.436047729,2.034606927,0.983509801,1.572555205,1.010037641
73200,Liver,Setd2mmu-sg1,rp48,1.907498982,1.183961393,1.262089177,,1.004435542,1.958990536,1.383939774
73200,Liver,Setd2mmu-sg2,rp48,0.899417294,1.052733593,0.738329495,,1.004435542,0.993690852,1.148055207
73200,Liver,Setd2mmu-sg3,rp48,0.374937982,0.588040413,0.616077036,,1.004435542,0.804416404,0.769134253
73200,Liver,Trip12mmu-sg1,rp48,0.592345556,0.393899682,1.747435629,4.00354819,1.004435542,1.279179811,0.947302384
73200,Liver,Trip12mmu-sg2,rp48,0.379222046,0.367838908,1.325308771,1.185193205,1.004435542,0.949526814,0.838143036
73200,Liver,Trip12mmu-sg3,rp48,0.643947707,0.469423883,1.065731631,2.38069357,1.004435542,1.757097792,1.17565872
73200,Liver,Tsc1mmu-sg1,rp48,0.979703693,1.006701788,0.986497802,1.901979933,1.004435542,1.395899054,0.966122961
73200,Liver,Tsc1mmu-sg2,rp48,1.75718139,0.836333961,2.640778731,3.5185706,0.965045912,1.889589905,0.884567127
73200,Liver,Tsc1mmu-sg3,rp48,2.995890013,0.716703832,4.38821436,,0.837029618,3.383280757,1.639899624
73200,Liver,Tsc2mmu-sg1,rp48,1.439986691,0.568228944,3.007954783,2.059452688,0.954213764,1.785488959,2.544542033
73200,Liver,Tsc2mmu-sg2,rp48,2.30239503,0.535817329,6.119635755,,0.753326656,0.583596215,0.012547051
73200,Liver,Tsc2mmu-sg3,rp48,0.923907902,0.33588187,3.434582374,,0.86094475,0.807570978,0.836888331
